Start: user:laura bot:snowwhite ip: rand:1364 (~justify_identity) 0 ==> Hi, what brings you to this part of the woods?  When:Tue Feb 11 14:49:23 2014 Version:3.53 Build0:1385587290 Build1:1392147977 Why: ~justify_identity.2.0 
Respond: user:laura bot:snowwhite ip: (~sell_apple) 1  I am an old woman seling apples, would you like one? ==> You mean one of those apples?  When:Tue Feb 11 14:49:49 2014 Why: ~sell_apple.22.0 
Respond: user:laura bot:snowwhite ip: (~sell_apple) 2  One of these apples in my basket, yes ==> Sorry, are you here to sell apples?  When:Tue Feb 11 14:49:57 2014 Why: ~sell_apple.27.0 
Respond: user:laura bot:snowwhite ip: (~sell_apple) 3  yes i am, would you like one? ==> That's nice but I can't accept anything from strangers.  When:Tue Feb 11 14:50:04 2014 Why: ~sell_apple.27.1 
Respond: user:laura bot:snowwhite ip: (~justify_identity) 4  Why not? ==> The dwarves told me not to trust anyone.  When:Tue Feb 11 14:50:08 2014 Why: ~justify_identity.12.0 
Respond: user:laura bot:snowwhite ip: (~justify_identity) 5  But I am not a stranger ==> Who are you then?  When:Tue Feb 11 14:50:18 2014 Why: ~justify_identity.10.0 
Respond: user:laura bot:snowwhite ip: (~justify_identity) 6  I am your neighbor ==> Have you moved in recently? I don't remember seeing you.  When:Tue Feb 11 14:50:25 2014 Why: ~justify_identity.55.0 
Respond: user:laura bot:snowwhite ip: (~justify_identity) 7  I live in the cottage down the lane ==> Who are you again?  When:Tue Feb 11 14:50:36 2014 Why: ~justify_identity.59.0 
Respond: user:laura bot:snowwhite ip: (~justify_identity) 8  The old woman who is your neighbor ==> You shouldn't be walking alone in the woods like that.  When:Tue Feb 11 14:50:44 2014 Why: ~justify_identity.22.0 
Respond: user:laura bot:snowwhite ip: (~justify_identity) 9  Would you let me in then? ==> I hate to be like that but I really need to be wary of strangers  When:Tue Feb 11 14:51:03 2014 Why: ~justify_identity.61.0 
Respond: user:laura bot:snowwhite ip: (~assassination_plot) 10  Why? ==> Because the two last strangers that came here tried to kill me.  When:Tue Feb 11 14:51:07 2014 Why: ~justify_identity.61.1 
Respond: user:laura bot:snowwhite ip: (~assassination_plot) 11  Thats a pretty good reason ==> You know, I can't be too cautious with my stepmother wanting to kill me.  When:Tue Feb 11 14:51:16 2014 Why: ~assassination_plot.22.0 
Respond: user:laura bot:snowwhite ip: (~assassination_plot) 12  Who is your stepmother ==> Simply the kingdom's queen!  When:Tue Feb 11 14:51:23 2014 Why: ~assassination_plot.7.0 
Respond: user:laura bot:snowwhite ip: (~assassination_plot) 13  Why did she want to kill you? ==> Apparently she's jealous of my beauty and wants to kill me for that!  When:Tue Feb 11 14:51:40 2014 Why: ~assassination_plot.6.0 
Respond: user:laura bot:snowwhite ip: (~snowwhite) 14  Well youre not that pretty so i wouldnt worry ==> Thank you, but my beauty has brought me only misery.  When:Tue Feb 11 14:51:48 2014 Why: ~snowwhite.3.0 
Respond: user:laura bot:snowwhite ip: (~assassination_plot) 15  You shouldnt be so confident ==> I can't think straight with all this stress.  When:Tue Feb 11 14:52:01 2014 Why: ~assassination_plot.23.0 
Respond: user:laura bot:snowwhite ip: (~sell_apple) 16  Eat an apple, you'll feel better ==> No thanks, I don't trust you enough.  When:Tue Feb 11 14:52:10 2014 Why: ~sell_apple.28.0 
Respond: user:laura bot:snowwhite ip: (~dwarves) 17  Why not? ==> The dwarves really insisted that I not to let anyone in.  When:Tue Feb 11 14:52:14 2014 Why: ~dwarves.25.0 
Respond: user:laura bot:snowwhite ip: (~justify_identity) 18  Im just giving you an apple, what could go wrong? ==> Excuse me, but who are you to be offering apples to strangers?  When:Tue Feb 11 14:52:30 2014 Why: ~sell_apple.26.0 
Respond: user:laura bot:snowwhite ip: (~justify_identity) 19  Im not a stranger, I'm your neighbour ==> I'd love to keep chatting with you but I don't want to make you lose your time  When:Tue Feb 11 14:52:42 2014 Why: ~catchall.22.0 
