Start: user:go_to_hell bot:snowwhite ip: rand:2873 (~justify_identity) 0 ==> Hi, what brings you to this part of the woods?  When:Tue Feb 11 15:31:40 2014 Version:3.53 Build0:1385587290 Build1:1392150512 Why: ~justify_identity.2.0 
Respond: user:go_to_hell bot:snowwhite ip: (~justify_identity) 1  I was wondering whose house this was? ==> Who do you think?  When:Tue Feb 11 15:31:57 2014 Why: ~catchall.10.0 
Respond: user:go_to_hell bot:snowwhite ip: (~justify_identity) 2  the dwarves? ==> Who are you again?  When:Tue Feb 11 15:32:03 2014 Why: ~justify_identity.59.0 
Respond: user:go_to_hell bot:snowwhite ip: (~justify_identity) 3  a relative of your mothers ==> I think I would recognize a family member.  When:Tue Feb 11 15:32:11 2014 Why: ~justify_identity.44.0 
Respond: user:go_to_hell bot:snowwhite ip: (~build_friendship) 4  Your mother and I weren't the best of friends ==> I just met you.  When:Tue Feb 11 15:32:27 2014 Why: ~build_friendship.4.0 
Respond: user:go_to_hell bot:snowwhite ip: (~dwarves) 5  I hope we can become good friends over time. ==> The dwarves know that I'm naturally friendly so they made me promise to be wary of strangers.  When:Tue Feb 11 15:32:43 2014 Why: ~dwarves.25.0 
Respond: user:go_to_hell bot:snowwhite ip: (~dwarves) 6  oh, i can understand. ==> I'm sure you mean well but how could I trust you?  When:Tue Feb 11 15:32:55 2014 Why: ~catchall.22.0 
Respond: user:go_to_hell bot:snowwhite ip: (~justify_identity) 7  would you like some food, would that help? ==> What do you need?  When:Tue Feb 11 15:33:17 2014 Why: ~justify_identity.29.0 
Respond: user:go_to_hell bot:snowwhite ip: (~justify_identity) 8  hold onto my apples ==> I don't think I can help you with that.  When:Tue Feb 11 15:33:29 2014 Why: ~justify_identity.32.0 
Respond: user:go_to_hell bot:snowwhite ip: (~justify_identity) 9  how come? ==> Sorry, but what was it that you wanted again?  When:Tue Feb 11 15:33:36 2014 Why: ~justify_identity.60.0 
Respond: user:go_to_hell bot:snowwhite ip: (~justify_identity) 10  i would like for you to hold onto my groceries. ==> I hate to be like that but I really need to be wary of strangers  When:Tue Feb 11 15:33:47 2014 Why: ~justify_identity.61.0 
Respond: user:go_to_hell bot:snowwhite ip: (~assassination_plot) 11  how is your mother? ==> I really wish my stepmother wasn't trying to kill me  When:Tue Feb 11 15:34:14 2014 Why: ~assassination_plot.22.0 
Respond: user:go_to_hell bot:snowwhite ip: (~assassination_plot) 12  why is your stepmother trying to kill you? ==> Apparently she's jealous of my beauty and wants to kill me for that!  When:Tue Feb 11 15:34:24 2014 Why: ~assassination_plot.6.0 
Respond: user:go_to_hell bot:snowwhite ip: (~assassination_plot) 13  You are without a doubt beautiful, but that is ridiculous. ==> Isn't it?!  When:Tue Feb 11 15:34:46 2014 Why: ~assassination_plot.6.1 
Respond: user:go_to_hell bot:snowwhite ip: (~assassination_plot) 14  Are the dwarves protecting you from your stepmother? ==> I can't think straight with all this stress.  When:Tue Feb 11 15:35:04 2014 Why: ~assassination_plot.23.0 
Respond: user:go_to_hell bot:snowwhite ip: (~assassination_plot) 15  sit down, I'll listen. ==> I don't want to keep you standing here, I'm sure you have much to do  When:Tue Feb 11 15:35:13 2014 Why: ~catchall.24.0 
Respond: user:go_to_hell bot:snowwhite ip: (~assassination_plot) 16  oh no, i can take time out of my day to help you. ==> I'm going to close this door anytime soon now.  When:Tue Feb 11 15:35:37 2014 Why: ~catchall.25.0 
Respond: user:go_to_hell bot:snowwhite ip: (~justify_identity) 17  here, have an apple. ==> Excuse me, but who are you to be offering apples to strangers?  When:Tue Feb 11 15:35:46 2014 Why: ~sell_apple.26.0 
Respond: user:go_to_hell bot:snowwhite ip: (~justify_identity) 18  I'm a friend of your mother. ==> Really? I never knew my real family very well. How are they doing?  When:Tue Feb 11 15:35:59 2014 Why: ~justify_identity.35.0 
Respond: user:go_to_hell bot:snowwhite ip: (~justify_identity) 19  they are doing well, but they miss you. ==> That's great to hear!  When:Tue Feb 11 15:36:16 2014 Why: ~justify_identity.35.1 
Respond: user:go_to_hell bot:snowwhite ip: (~sell_apple) 20  indeed it is, would you like to know anything else about your family? ==> It's nothing personal, you know, it's just not a good moment  When:Tue Feb 11 15:36:34 2014 Why: ~sell_apple.36.0 
Respond: user:go_to_hell bot:snowwhite ip: (~catchall) 21  would you like to know more about your sister? ==> Goodbye then, have a safe trip.  When:Tue Feb 11 15:36:50 2014 Why: ~catchall.26.0 
Respond: user:go_to_hell bot:snowwhite ip: (~catchall) 22  EAT APPLES!!! ==> The door is shut, no one is hearing you.  When:Tue Feb 11 15:37:09 2014 Why: ~catchall.0.0 
